,ID_hecho,FECHA
0,2016-0001,1/1/2016
1,2016-0002,1/2/2016
2,2016-0003,1/3/2016
3,2016-0004,1/10/2016
4,2016-0005,1/21/2016
5,2016-0008,1/24/2016
6,2016-0009,1/24/2016
7,2016-0010,1/29/2016
8,2016-0012,2/8/2016
9,2016-0013,2/10/2016
10,2016-0015,2/14/2016
11,2016-0016,2/14/2016
12,2016-0017,2/15/2016
13,2016-0019,2/17/2016
14,2016-0020,2/17/2016
15,2016-0021,2/17/2016
16,2016-0022,2/21/2016
17,2016-0025,2/28/2016
18,2016-0026,2/28/2016
19,2016-0027,2/28/2016
20,2016-0028,3/2/2016
21,2016-0029,3/4/2016
22,2016-0031,3/8/2016
23,2016-0034,3/12/2016
24,2016-0035,3/13/2016
25,2016-0036,3/14/2016
26,2016-0037,3/19/2016
27,2016-0038,3/21/2016
28,2016-0039,3/23/2016
29,2016-0041,3/29/2016
30,2016-0041,3/29/2016
31,2016-0043,3/30/2016
32,2016-0044,3/31/2016
33,2016-0045,4/11/2016
34,2016-0047,4/15/2016
35,2016-0048,4/15/2016
36,2016-0049,4/17/2016
37,2016-0050,4/19/2016
38,2016-0051,4/20/2016
39,2016-0052,4/20/2016
40,2016-0053,4/22/2016
41,2016-0054,4/23/2016
42,2016-0055,4/25/2016
43,2016-0056,4/26/2016
44,2016-0058,5/4/2016
45,2016-0059,5/8/2016
46,2016-0064,5/14/2016
47,2016-0065,5/20/2016
48,2016-0067,5/21/2016
49,2016-0068,5/22/2016
50,2016-0069,5/23/2016
51,2016-0073,6/11/2016
52,2016-0074,6/12/2016
53,2016-0075,6/12/2016
54,2016-0076,6/13/2016
55,2016-0077,6/13/2016
56,2016-0078,6/13/2016
57,2016-0079,6/16/2016
58,2016-0080,6/18/2016
59,2016-0081,6/22/2016
60,2016-0082,6/27/2016
61,2016-0083,6/28/2016
62,2016-0084,6/29/2016
63,2016-0085,6/29/2016
64,2016-0086,6/30/2016
65,2016-0087,7/3/2016
66,2016-0088,7/11/2016
67,2016-0089,7/14/2016
68,2016-0090,7/14/2016
69,2016-0092,7/15/2016
70,2016-0093,7/17/2016
71,2016-0095,7/23/2016
72,2016-0096,7/25/2016
73,2016-0097,7/26/2016
74,2016-0098,7/27/2016
75,2016-0099,7/29/2016
76,2016-0100,8/3/2016
77,2016-0101,8/7/2016
78,2016-0102,8/10/2016
79,2016-0104,8/14/2016
80,2016-0105,8/17/2016
81,2016-0106,8/19/2016
82,2016-0107,8/20/2016
83,2016-0109,8/24/2016
84,2016-0110,8/24/2016
85,2016-0111,8/25/2016
86,2016-0112,8/27/2016
87,2016-0113,8/27/2016
88,2016-0114,8/31/2016
89,2016-0115,9/2/2016
90,2016-0116,9/2/2016
91,2016-0117,9/3/2016
92,2016-0118,9/4/2016
93,2016-0119,9/4/2016
94,2016-0122,9/13/2016
95,2016-0123,9/14/2016
96,2016-0124,9/16/2016
97,2016-0125,9/17/2016
98,2016-0126,9/18/2016
99,2016-0126,9/18/2016
100,2016-0127,9/24/2016
101,2016-0128,10/2/2016
102,2016-0130,10/4/2016
103,2016-0131,10/9/2016
104,2016-0132,10/10/2016
105,2016-0133,10/14/2016
106,2016-0134,10/23/2016
107,2016-0135,10/24/2016
108,2016-0136,10/25/2016
109,2016-0137,10/25/2016
110,2016-0138,10/27/2016
111,2016-0139,10/28/2016
112,2016-0140,10/31/2016
113,2016-0142,11/5/2016
114,2016-0143,11/6/2016
115,2016-0144,11/7/2016
116,2016-0145,11/7/2016
117,2016-0146,11/9/2016
118,2016-0147,11/16/2016
119,2016-0148,11/16/2016
120,2016-0150,11/18/2016
121,2016-0151,11/18/2016
122,2016-0152,11/23/2016
123,2016-0153,11/25/2016
124,2016-0154,11/26/2016
125,2016-0155,11/26/2016
126,2016-0156,11/26/2016
127,2016-0157,12/3/2016
128,2016-0159,12/4/2016
129,2016-0160,12/6/2016
130,2016-0161,12/6/2016
131,2016-0162,12/7/2016
132,2016-0163,12/10/2016
133,2016-0164,12/11/2016
134,2016-0165,12/12/2016
135,2016-0168,12/13/2016
136,2016-0169,12/15/2016
137,2016-0170,12/19/2016
138,2016-0171,12/25/2016
139,2016-0172,12/26/2016
140,2016-0173,12/26/2016
141,2016-0174,12/27/2016
142,2016-0175,12/27/2016
143,2016-0176,12/28/2016
144,2016-0177,12/29/2016
145,2016-0178,12/30/2016
146,2017-0001,1/2/2017
147,2017-0003,1/5/2017
148,2017-0007,1/11/2017
149,2017-0008,1/16/2017
150,2017-0009,1/16/2017
151,2017-0010,1/16/2017
152,2017-0011,1/22/2017
153,2017-0012,1/24/2017
154,2017-0013,1/27/2017
155,2017-0014,1/28/2017
156,2017-0015,2/2/2017
157,2017-0016,2/3/2017
158,2017-0017,2/6/2017
159,2017-0018,2/9/2017
160,2017-0021,2/18/2017
161,2017-0024,2/23/2017
162,2017-0025,2/24/2017
163,2017-0026,2/26/2017
164,2017-0026,2/26/2017
165,2017-0027,2/26/2017
166,2017-0028,2/28/2017
167,2017-0029,3/7/2017
168,2017-0030,3/7/2017
169,2017-0031,3/11/2017
170,2017-0032,3/12/2017
171,2017-0033,3/12/2017
172,2017-0034,3/13/2017
173,2017-0035,3/23/2017
174,2017-0035,3/23/2017
175,2017-0035,3/23/2017
176,2017-0036,3/29/2017
177,2017-0036,3/29/2017
178,2017-0037,3/31/2017
179,2017-0038,4/1/2017
180,2017-0040,4/3/2017
181,2017-0041,4/3/2017
182,2017-0042,4/10/2017
183,2017-0045,4/14/2017
184,2017-0047,4/23/2017
185,2017-0049,4/27/2017
186,2017-0050,4/28/2017
187,2017-0050,4/28/2017
188,2017-0051,5/1/2017
189,2017-0052,5/5/2017
190,2017-0053,5/5/2017
191,2017-0054,5/7/2017
192,2017-0055,5/9/2017
193,2017-0058,5/9/2017
194,2017-0059,5/11/2017
195,2017-0060,5/13/2017
196,2017-0061,5/15/2017
197,2017-0062,5/15/2017
198,2017-0063,5/17/2017
199,2017-0064,5/20/2017
200,2017-0065,5/22/2017
201,2017-0066,5/22/2017
202,2017-0067,5/23/2017
203,2017-0068,5/27/2017
204,2017-0069,5/29/2017
205,2017-0070,5/30/2017
206,2017-0072,6/3/2017
207,2017-0073,6/4/2017
208,2017-0074,6/4/2017
209,2017-0075,6/12/2017
210,2017-0076,6/13/2017
211,2017-0077,6/17/2017
212,2017-0079,6/19/2017
213,2017-0080,6/22/2017
214,2017-0082,6/25/2017
215,2017-0083,7/4/2017
216,2017-0084,7/5/2017
217,2017-0085,7/7/2017
218,2017-0086,7/9/2017
219,2017-0087,7/10/2017
220,2017-0088,7/10/2017
221,2017-0089,7/13/2017
222,2017-0090,7/15/2017
223,2017-0091,7/15/2017
224,2017-0092,7/24/2017
225,2017-0093,7/25/2017
226,2017-0094,7/27/2017
227,2017-0095,8/6/2017
228,2017-0096,8/7/2017
229,2017-0098,8/8/2017
230,2017-0099,8/17/2017
231,2017-0100,8/21/2017
232,2017-0101,8/23/2017
233,2017-0102,8/24/2017
234,2017-0104,8/25/2017
235,2017-0106,8/31/2017
236,2017-0107,9/1/2017
237,2017-0108,9/2/2017
238,2017-0108,9/2/2017
239,2017-0109,9/4/2017
240,2017-0110,9/6/2017
241,2017-0111,9/7/2017
242,2017-0112,9/10/2017
243,2017-0112,9/10/2017
244,2017-0113,9/11/2017
245,2017-0114,9/15/2017
246,2017-0115,9/19/2017
247,2017-0116,9/20/2017
248,2017-0118,9/22/2017
249,2017-0120,10/2/2017
250,2017-0123,10/10/2017
251,2017-0124,10/12/2017
252,2017-0125,10/13/2017
253,2017-0126,10/14/2017
254,2017-0126,10/14/2017
255,2017-0127,10/16/2017
256,2017-0128,10/17/2017
257,2017-0129,10/26/2017
258,2017-0130,10/27/2017
259,2017-0132,10/30/2017
260,2017-0134,11/6/2017
261,2017-0135,11/7/2017
262,2017-0136,11/16/2017
263,2017-0137,11/17/2017
264,2017-0138,11/19/2017
265,2017-0139,11/19/2017
266,2017-0140,11/19/2017
267,2017-0141,11/23/2017
268,2017-0143,11/25/2017
269,2017-0144,11/26/2017
270,2017-0145,11/26/2017
271,2017-0147,11/28/2017
272,2017-0148,11/29/2017
273,2017-0149,11/30/2017
274,2017-0150,12/4/2017
275,2017-0151,12/4/2017
276,2017-0152,12/6/2017
277,2017-0153,12/11/2017
278,2017-0153,12/11/2017
279,2017-0154,12/11/2017
280,2017-0155,12/12/2017
281,2017-0157,12/17/2017
282,2017-0158,12/18/2017
283,2017-0159,12/20/2017
284,2017-0160,12/22/2017
285,2017-0161,12/26/2017
286,2018-0001,1/1/2018
287,2018-0002,1/3/2018
288,2018-0003,1/5/2018
289,2018-0004,1/9/2018
290,2018-0005,1/9/2018
291,2018-0006,1/10/2018
292,2018-0007,1/11/2018
293,2018-0008,1/12/2018
294,2018-0009,1/14/2018
295,2018-0010,1/18/2018
296,2018-0011,1/19/2018
297,2018-0012,1/26/2018
298,2018-0013,1/28/2018
299,2018-0014,1/31/2018
300,2018-0015,2/6/2018
301,2018-0015,2/6/2018
302,2018-0016,2/15/2018
303,2018-0017,2/17/2018
304,2018-0018,2/17/2018
305,2018-0019,2/17/2018
306,2018-0020,2/19/2018
307,2018-0021,2/22/2018
308,2018-0022,2/24/2018
309,2018-0023,2/24/2018
310,2018-0024,2/28/2018
311,2018-0025,3/4/2018
312,2018-0026,3/9/2018
313,2018-0026,3/9/2018
314,2018-0027,3/11/2018
315,2018-0028,3/13/2018
316,2018-0029,3/15/2018
317,2018-0030,3/20/2018
318,2018-0031,3/28/2018
319,2018-0032,4/2/2018
320,2018-0033,4/7/2018
321,2018-0034,4/11/2018
322,2018-0035,4/12/2018
323,2018-0036,4/13/2018
324,2018-0037,4/18/2018
325,2018-0038,4/20/2018
326,2018-0038,4/20/2018
327,2018-0039,4/21/2018
328,2018-0040,4/27/2018
329,2018-0041,4/27/2018
330,2018-0042,4/27/2018
331,2018-0043,4/28/2018
332,2018-0044,4/28/2018
333,2018-0045,4/30/2018
334,2018-0046,5/2/2018
335,2018-0047,5/8/2018
336,2018-0048,5/9/2018
337,2018-0049,5/11/2018
338,2018-0050,5/14/2018
339,2018-0051,5/15/2018
340,2018-0052,5/18/2018
341,2018-0053,5/20/2018
342,2018-0054,5/22/2018
343,2018-0055,5/29/2018
344,2018-0056,6/2/2018
345,2018-0057,6/3/2018
346,2018-0058,6/3/2018
347,2018-0059,6/8/2018
348,2018-0060,6/8/2018
349,2018-0061,6/10/2018
350,2018-0062,6/14/2018
351,2018-0063,6/16/2018
352,2018-0064,6/25/2018
353,2018-0065,6/26/2018
354,2018-0066,6/28/2018
355,2018-0067,6/29/2018
356,2018-0068,7/1/2018
357,2018-0069,7/4/2018
358,2018-0070,7/7/2018
359,2018-0071,7/10/2018
360,2018-0072,7/11/2018
361,2018-0073,7/11/2018
362,2018-0074,7/14/2018
363,2018-0075,7/15/2018
364,2018-0076,7/16/2018
365,2018-0077,7/16/2018
366,2018-0078,7/21/2018
367,2018-0079,7/23/2018
368,2018-0080,7/25/2018
369,2018-0081,7/29/2018
370,2018-0082,8/1/2018
371,2018-0083,8/2/2018
372,2018-0084,8/3/2018
373,2018-0085,8/3/2018
374,2018-0085,8/3/2018
375,2018-0086,8/10/2018
376,2018-0087,8/15/2018
377,2018-0088,8/17/2018
378,2018-0089,8/17/2018
379,2018-0090,8/18/2018
380,2018-0091,8/19/2018
381,2018-0092,8/20/2018
382,2018-0093,8/20/2018
383,2018-0094,8/23/2018
384,2018-0095,8/26/2018
385,2018-0096,8/31/2018
386,2018-0097,9/2/2018
387,2018-0098,9/9/2018
388,2018-0098,9/9/2018
389,2018-0099,9/12/2018
390,2018-0100,9/20/2018
391,2018-0101,9/21/2018
392,2018-0102,9/21/2018
393,2018-0103,9/27/2018
394,2018-0104,10/1/2018
395,2018-0105,10/3/2018
396,2018-0106,10/4/2018
397,2018-0107,10/6/2018
398,2018-0108,10/9/2018
399,2018-0109,10/10/2018
400,2018-0110,10/13/2018
401,2018-0111,10/19/2018
402,2018-0112,10/24/2018
403,2018-0113,10/25/2018
404,2018-0114,10/30/2018
405,2018-0115,10/31/2018
406,2018-0116,11/1/2018
407,2018-0117,11/4/2018
408,2018-0118,11/5/2018
409,2018-0119,11/5/2018
410,2018-0120,11/9/2018
411,2018-0121,11/9/2018
412,2018-0122,11/12/2018
413,2018-0123,11/12/2018
414,2018-0124,11/15/2018
415,2018-0125,11/16/2018
416,2018-0126,11/18/2018
417,2018-0127,11/19/2018
418,2018-0128,11/25/2018
419,2018-0128,11/25/2018
420,2018-0129,11/28/2018
421,2018-0130,12/3/2018
422,2018-0131,12/7/2018
423,2018-0132,12/12/2018
424,2018-0133,12/12/2018
425,2018-0134,12/12/2018
426,2018-0135,12/18/2018
427,2018-0136,12/18/2018
428,2018-0137,12/18/2018
429,2018-0138,12/21/2018
430,2018-0139,12/22/2018
431,2018-0140,12/22/2018
432,2018-0141,12/22/2018
433,2018-0142,12/25/2018
434,2018-0143,12/29/2018
435,2019-0001,1/8/2019
436,2019-0002,1/9/2019
437,2019-0003,1/12/2019
438,2019-0004,1/14/2019
439,2019-0005,1/19/2019
440,2019-0006,1/23/2019
441,2019-0007,1/26/2019
442,2019-0008,1/30/2019
443,2019-0009,1/31/2019
444,2019-0010,2/2/2019
445,2019-0010,2/2/2019
446,2019-0011,2/10/2019
447,2019-0012,2/17/2019
448,2019-0013,2/20/2019
449,2019-0014,2/20/2019
450,2019-0015,2/23/2019
451,2019-0016,2/24/2019
452,2019-0017,3/3/2019
453,2019-0018,3/3/2019
454,2019-0019,3/6/2019
455,2019-0020,3/7/2019
456,2019-0021,3/15/2019
457,2019-0022,3/15/2019
458,2019-0023,3/16/2019
459,2019-0024,3/19/2019
460,2019-0025,3/22/2019
461,2019-0026,3/28/2019
462,2019-0027,3/28/2019
463,2019-0028,4/6/2019
464,2019-0029,4/7/2019
465,2019-0030,4/9/2019
466,2019-0031,4/12/2019
467,2019-0032,4/16/2019
468,2019-0033,4/18/2019
469,2019-0034,4/21/2019
470,2019-0035,4/23/2019
471,2019-0036,4/26/2019
472,2019-0037,5/1/2019
473,2019-0038,5/4/2019
474,2019-0105,5/5/2019
475,2019-0039,5/9/2019
476,2019-0040,5/9/2019
477,2019-0041,5/11/2019
478,2019-0042,5/14/2019
479,2019-0043,5/21/2019
480,2019-0044,5/27/2019
481,2019-0045,6/3/2019
482,2019-0046,6/4/2019
483,2019-0047,6/6/2019
484,2019-0048,6/7/2019
485,2019-0049,6/8/2019
486,2019-0050,6/8/2019
487,2019-0051,6/11/2019
488,2019-0053,6/14/2019
489,2019-0054,6/20/2019
490,2019-0055,6/20/2019
491,2019-0056,6/29/2019
492,2019-0057,7/5/2019
493,2019-0058,7/10/2019
494,2019-0059,7/13/2019
495,2019-0060,7/17/2019
496,2019-0061,7/17/2019
497,2019-0062,8/1/2019
498,2019-0063,8/4/2019
499,2019-0064,8/6/2019
500,2019-0065,8/8/2019
501,2019-0066,8/11/2019
502,2019-0067,8/14/2019
503,2019-0068,8/14/2019
